"Produktivitetsudviklingen efter prisenhed, type, branche og tid"

" ";" ";" ";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Årlig vækstrate i pct."
" ";"Arbejdsproduktivitet"
" ";" ";"50000 Skibsfart";-0.01;0.41;0.42;0.36;-0.18;-0.16;0.00;-0.12;-0.11;-0.06;0.11;-0.09;0.12
" ";" ";"51000 Luftfart";0.08;2.40;-0.72;0.01;-0.23;0.10;-0.19;0.01;0.22;0.79;0.15;0.05;-0.19
" ";" ";"52000 Hjælpevirksomhed til transport";0.01;0.02;0.28;-0.16;-0.10;0.25;0.49;0.13;0.60;0.78;0.44;0.17;-0.16
" ";" ";"53000 Post og kurertjeneste";0.05;0.38;-0.45;0.28;0.39;0.27;0.08;0.01;0.10;-0.08;-0.07;-0.03;0.00
" ";" ";"55560 Hoteller og restauranter";0.06;-0.08;0.02;0.09;-0.06;0.13;0.01;-0.04;0.05;-0.03;0.06;0.00;-0.06
" ";" ";"58000 Udgivervirksomhed";1.32;0.62;0.03;1.42;1.29;1.83;0.89;0.03;-0.06;-0.42;0.47;1.11;1.64
" ";" ";"59600 Radio- og tv-stationer samt produktion af film, tv, mus";0.06;0.24;0.14;1.14;0.18;0.39;0.07;-0.06;0.20;0.03;0.25;0.21;0.09
" ";" ";"61000 Telekommunikation";1.79;3.00;1.37;0.77;-0.16;0.42;1.06;-0.16;-0.46;-0.38;0.27;-0.19;-0.11
" ";" ";"62630 It- og informationstjenester";0.80;0.73;-0.10;-0.05;-0.25;0.11;0.75;0.66;-0.15;0.03;0.26;0.13;-0.01
" ";" ";"64000 Finansiel virksomhed";-0.01;0.74;1.04;0.59;1.41;0.61;3.32;0.74;0.74;0.88;0.42;-0.58;1.09
" ";" ";"65000 Forsikring og pension";-0.13;0.64;0.24;-0.14;-0.57;0.22;1.37;0.52;1.05;0.19;0.24;0.04;0.23
" ";" ";"66000 Finansiel service";4.64;0.03;-2.92;4.60;0.72;1.64;3.19;1.40;0.95;-0.34;-1.65;-1.24;0.38
" ";" ";"68100 Ejendomsmæglere mv.";-0.15;-0.26;1.30;4.96;0.74;0.09;0.93;0.21;-0.27;-0.85;1.24;1.20;0.58
" ";" ";"68300 Udlejning af erhvervsejendomme";0.03;0.27;-0.07;-0.26;0.04;0.78;-0.06;0.07;0.11;0.08;0.38;0.42;0.24
" ";" ";"68203 Boliger, husleje i lejeboliger";0.58;0.54;-0.04;0.09;0.03;0.07;0.06;-0.01;-0.03;-0.02;0.01;-0.01;0.01
" ";" ";"68204 Boliger, ejerboliger mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"69700 Advokater, revisorer og virksomhedskonsulenter";0.05;0.00;0.50;0.65;0.15;0.02;0.10;0.40;0.71;0.39;0.47;0.05;-0.07
" ";" ";"71000 Arkitekter og rådgivende ingeniører";-0.08;0.00;-0.09;-0.19;-0.28;0.15;0.14;0.15;0.17;0.02;0.03;0.01;-0.01
" ";" ";"72001 Forskning og udvikling, markedsmæssig";-0.61;-0.48;-0.05;0.26;0.24;1.37;1.00;1.08;0.42;-0.17;-0.03;0.00;0.02
" ";" ";"72002 Forskning og udvikling, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"73000 Reklame- og analysebureauer";-0.35;-0.51;-0.32;-0.52;-0.12;0.36;0.17;-0.16;0.11;0.01;0.13;0.32;0.26
" ";" ";"74750 Dyrlæger og anden videnservice";0.66;0.36;-0.61;-0.40;-0.29;-0.28;0.00;0.17;0.24;0.03;-0.02;-0.01;0.04
" ";" ";"77000 Udlejning og leasing af materiel";-1.19;-0.05;-0.02;-0.26;-0.46;-0.23;-0.27;0.28;0.50;-0.16;-0.18;-0.14;-0.12
" ";" ";"78000 Arbejdsformidling og vikarbureauer";-0.17;-0.03;-0.14;0.05;0.00;1.60;-0.11;-0.13;0.37;-0.30;-0.58;0.11;0.15
" ";" ";"79000 Rejsebureauer";0.26;-0.65;0.78;0.99;-0.33;0.82;0.06;0.19;0.63;0.35;0.63;0.16;-0.01
" ";" ";"80820 Rengøring og anden operationel service";0.01;0.00;-0.07;0.03;-0.04;0.00;0.00;0.00;0.01;0.02;0.02;0.02;0.01
" ";" ";"84202 Offentlig administration mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"84101 Redningskorps mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85202 Undervisning, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85101 Voksenundervisning mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"86000 Sundhedsvæsen";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"87880 Sociale institutioner";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"90920 Kunst, kultur og spil";0.64;0.63;0.57;-0.40;-0.74;-0.28;-0.27;-0.10;0.07;0.21;-0.25;-0.03;0.02
" ";" ";"93000 Sport, forlystelsesparker og andre fritidsaktiviteter";0.09;0.05;0.01;0.00;-0.14;-0.12;-0.10;-0.02;-0.02;0.07;-0.10;-0.03;-0.01
" ";" ";"94000 Organisationer og foreninger";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"95000 Reparation af husholdningsudstyr";-0.13;0.51;0.30;0.04;-1.18;-0.16;-0.06;-0.08;1.08;1.43;0.03;0.51;0.03
" ";" ";"96000 Frisører, vaskerier og andre serviceydelser";-0.57;-0.46;-0.39;-0.39;-0.19;-0.09;-0.07;-0.13;-0.06;-0.01;0.11;0.08;0.07
" ";" ";"97000 Private husholdninger med ansat medhjælp";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"Markedsmæssig økonomi i alt";0.32;0.37;0.25;0.14;0.03;0.46;0.42;0.05;0.17;0.12;0.13;0.13;0.08
" ";"Anden kapitalintensitet"
" ";" ";"01000 Landbrug og gartneri";-0.06;2.23;2.84;2.05;1.99;1.21;0.37;-0.29;-0.10;-0.18;-1.26;-1.50;0.75
" ";" ";"02000 Skovbrug";0.19;-0.39;0.10;-1.21;0.90;2.78;-1.88;-1.40;0.28;1.80;-3.51;5.79;0.27
" ";" ";"03000 Fiskeri";-0.15;0.38;2.54;2.62;0.34;2.81;-0.67;-1.28;-0.02;-1.35;0.09;0.65;0.90
" ";" ";"06090 Råstofindvinding";9.36;0.22;-0.15;-3.82;-2.50;-7.08;4.89;-6.21;-4.62;25.91;7.26;6.83;-0.13
" ";" ";"10120 Føde-, drikke- og tobaksvareindustri";1.65;2.46;1.32;1.90;1.00;1.81;1.03;0.67;1.18;1.00;0.26;0.58;0.80
" ";" ";"13150 Tekstil- og læderindustri";1.35;0.44;0.34;0.30;0.26;1.65;0.38;-0.25;0.76;-0.89;-0.61;0.44;-0.55
" ";" ";"16000 Træindustri";-0.10;-0.20;-0.47;0.60;0.74;3.60;0.25;-0.19;0.45;2.49;0.42;-1.67;-2.02
" ";" ";"17000 Papirindustri";0.97;0.06;0.38;-0.33;0.56;1.50;0.95;0.77;-0.21;0.75;-0.41;-0.24;-0.36
" ";" ";"18000 Trykkerier mv.";0.73;0.25;-0.47;0.32;-0.06;1.86;0.90;-0.14;0.57;0.06;-0.24;0.10;-0.11
" ";" ";"19000 Olieraffinaderier mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"20000 Kemisk industri";-0.10;0.26;1.71;-5.38;-1.54;3.45;0.99;0.46;2.15;1.64;1.10;-0.53;1.65
" ";" ";"21000 Medicinalindustri";6.12;3.56;4.08;5.86;6.31;0.20;3.93;1.30;1.87;-0.12;-1.02;1.32;4.80
" ";" ";"22000 Plast- og gummiindustri";2.03;1.21;0.45;-0.89;1.57;6.30;0.75;-1.72;0.12;-0.22;-0.85;0.26;-0.55
" ";" ";"23000 Glas- og betonindustri";0.13;0.75;0.79;-0.09;-0.04;5.62;1.93;-1.67;-0.06;0.45;-0.15;-1.00;-1.59
" ";" ";"24000 Fremst. af metal";-1.07;4.22;-2.09;-2.19;-0.35;9.75;0.18;-0.37;-0.09;-0.23;-1.43;-0.78;-0.78
" ";" ";"25000 Metalvareindustri";0.53;0.36;0.04;-0.29;0.38;2.69;0.76;-0.61;-0.06;-0.16;-0.40;-0.15;-0.79
" ";" ";"26000 Elektronikindustri";2.96;-0.33;3.53;-1.76;-0.56;4.19;1.53;-0.63;1.11;0.96;2.74;0.68;0.36
" ";" ";"27000 Fremst. af elektrisk udstyr";0.64;-1.10;-2.95;-3.12;-4.22;5.32;2.38;-1.80;1.02;1.17;-1.74;-0.76;0.28
" ";" ";"28000 Maskinindustri";0.14;0.92;0.40;0.08;-0.09;4.56;2.16;-0.13;1.09;1.19;1.28;-0.52;0.28
" ";" ";"29000 Fremst. af motorkøretøjer og dele hertil";0.31;-0.77;5.01;-2.45;1.52;8.44;0.53;-2.69;2.99;2.39;-0.04;-3.30;-3.74
" ";" ";"30000 Fremst. af skibe og andre transportmidler";8.23;1.06;0.32;2.66;-2.31;0.47;0.87;-3.83;6.88;0.74;-2.71;-0.32;-0.24
" ";" ";"31320 Møbel- og anden industri";1.70;0.28;0.33;0.88;2.06;5.00;5.80;-2.25;2.55;2.01;1.99;1.85;-3.89
" ";" ";"33000 Reparation og installation af maskiner og udstyr";1.12;0.02;-0.01;-0.07;-0.11;0.59;0.63;-1.48;-0.57;0.66;0.09;-0.04;-0.19
" ";" ";"35000 Energiforsyning";6.78;-1.64;-2.35;-6.36;-10.26;0.19;6.76;4.38;-0.37;7.10;-2.86;10.68;-1.68
" ";" ";"36000 Vandforsyning";3.68;-5.40;7.60;8.38;1.77;24.24;4.33;2.26;14.56;36.45;-3.07;15.68;-1.47
" ";" ";"37390 Renovation, affaldsbehandling mv.";-0.53;-1.65;3.78;0.53;-2.16;2.55;3.39;-0.30;2.24;2.83;-2.97;-2.06;1.69
" ";" ";"41430 Bygge og anlæg";-0.24;-0.04;0.07;0.50;0.22;1.00;0.39;-0.39;-0.15;0.10;-0.11;-0.36;-0.54
" ";" ";"45000 Bilhandel og -værksteder mv.";0.25;-0.12;-0.14;-0.03;-0.13;0.83;0.03;-0.53;0.65;0.34;0.12;0.55;-0.08
" ";" ";"46000 Engroshandel";-0.24;0.14;0.36;-0.31;-0.51;1.98;0.53;-1.48;-0.63;-1.03;-0.39;-0.62;-2.02
